0 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Graph@1da51a35 created.
37 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Core #1->Pod #0 Agg #0 (NetworkNode@43d7741f -> NetworkNode@de3a06f - PriorityScheduler@55a1c291 - 4 queues) creation in Network@4bb4de6a triggered.
37 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Core #1 creation (Pod #0 Agg #0 -> Core #1) in Graph@1da51a35 triggered.
37 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Core #1#0 creation (Pod #0 Agg #0 -> Core #1) in Graph@134593bf triggered.
37 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Core #1#1 creation (Pod #0 Agg #0 -> Core #1) in Graph@134593bf triggered.
37 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Core #1#2 creation (Pod #0 Agg #0 -> Core #1) in Graph@134593bf triggered.
38 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Core #1#3 creation (Pod #0 Agg #0 -> Core #1) in Graph@134593bf triggered.
38 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Agg #0->Core #1 (NetworkNode@de3a06f -> NetworkNode@43d7741f - PriorityScheduler@3c87521 - 4 queues) creation in Network@4bb4de6a triggered.
38 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #0 creation (Pod #0 Edge #0 -> Pod #0 Agg #0) in Graph@1da51a35 triggered.
38 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #0#0 creation (Pod #0 Edge #0 -> Pod #0 Agg #0) in Graph@134593bf triggered.
38 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #0#1 creation (Pod #0 Edge #0 -> Pod #0 Agg #0) in Graph@134593bf triggered.
38 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #0#2 creation (Pod #0 Edge #0 -> Pod #0 Agg #0) in Graph@134593bf triggered.
38 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Agg #0#3 creation (Pod #0 Edge #0 -> Pod #0 Agg #0) in Graph@134593bf triggered.
39 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Edge #0->Pod #0 Agg #0 (NetworkNode@3439f68d -> NetworkNode@de3a06f - PriorityScheduler@3b2da18f - 4 queues) creation in Network@4bb4de6a triggered.
39 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #0 creation (Pod #0 Agg #0 -> Pod #0 Edge #0) in Graph@1da51a35 triggered.
39 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #0#0 creation (Pod #0 Agg #0 -> Pod #0 Edge #0) in Graph@134593bf triggered.
39 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #0#1 creation (Pod #0 Agg #0 -> Pod #0 Edge #0) in Graph@134593bf triggered.
39 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #0#2 creation (Pod #0 Agg #0 -> Pod #0 Edge #0) in Graph@134593bf triggered.
39 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #0#3 creation (Pod #0 Agg #0 -> Pod #0 Edge #0) in Graph@134593bf triggered.
39 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Agg #0->Pod #0 Edge #0 (NetworkNode@de3a06f -> NetworkNode@3439f68d - PriorityScheduler@2b6856dd - 4 queues) creation in Network@4bb4de6a triggered.
40 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #0 creation (Pod #0 Edge #1 -> Pod #0 Agg #0) in Graph@1da51a35 triggered.
40 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #0#0 creation (Pod #0 Edge #1 -> Pod #0 Agg #0) in Graph@134593bf triggered.
40 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #0#1 creation (Pod #0 Edge #1 -> Pod #0 Agg #0) in Graph@134593bf triggered.
40 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #0#2 creation (Pod #0 Edge #1 -> Pod #0 Agg #0) in Graph@134593bf triggered.
40 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #1->Pod #0 Agg #0#3 creation (Pod #0 Edge #1 -> Pod #0 Agg #0) in Graph@134593bf triggered.
40 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Edge #1->Pod #0 Agg #0 (NetworkNode@58a90037 -> NetworkNode@de3a06f - PriorityScheduler@6e75aa0d - 4 queues) creation in Network@4bb4de6a triggered.
40 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #1 creation (Pod #0 Agg #0 -> Pod #0 Edge #1) in Graph@1da51a35 triggered.
41 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #1#0 creation (Pod #0 Agg #0 -> Pod #0 Edge #1) in Graph@134593bf triggered.
41 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #1#1 creation (Pod #0 Agg #0 -> Pod #0 Edge #1) in Graph@134593bf triggered.
41 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #1#2 creation (Pod #0 Agg #0 -> Pod #0 Edge #1) in Graph@134593bf triggered.
41 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #0->Pod #0 Edge #1#3 creation (Pod #0 Agg #0 -> Pod #0 Edge #1) in Graph@134593bf triggered.
41 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Agg #0->Pod #0 Edge #1 (NetworkNode@de3a06f -> NetworkNode@58a90037 - PriorityScheduler@7995092a - 4 queues) creation in Network@4bb4de6a triggered.
41 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #2->Pod #0 Agg #1 creation (Core #2 -> Pod #0 Agg #1) in Graph@1da51a35 triggered.
41 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #2->Pod #0 Agg #1#0 creation (Core #2 -> Pod #0 Agg #1) in Graph@134593bf triggered.
41 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #2->Pod #0 Agg #1#1 creation (Core #2 -> Pod #0 Agg #1) in Graph@134593bf triggered.
42 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #2->Pod #0 Agg #1#2 creation (Core #2 -> Pod #0 Agg #1) in Graph@134593bf triggered.
42 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #2->Pod #0 Agg #1#3 creation (Core #2 -> Pod #0 Agg #1) in Graph@134593bf triggered.
42 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Core #2->Pod #0 Agg #1 (NetworkNode@1e4a7dd4 -> NetworkNode@2f490758 - PriorityScheduler@37918c79 - 4 queues) creation in Network@4bb4de6a triggered.
42 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #2 creation (Pod #0 Agg #1 -> Core #2) in Graph@1da51a35 triggered.
42 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #2#0 creation (Pod #0 Agg #1 -> Core #2) in Graph@134593bf triggered.
42 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #2#1 creation (Pod #0 Agg #1 -> Core #2) in Graph@134593bf triggered.
42 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #2#2 creation (Pod #0 Agg #1 -> Core #2) in Graph@134593bf triggered.
43 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #2#3 creation (Pod #0 Agg #1 -> Core #2) in Graph@134593bf triggered.
43 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Agg #1->Core #2 (NetworkNode@2f490758 -> NetworkNode@1e4a7dd4 - PriorityScheduler@4278a03f - 4 queues) creation in Network@4bb4de6a triggered.
43 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #3->Pod #0 Agg #1 creation (Core #3 -> Pod #0 Agg #1) in Graph@1da51a35 triggered.
43 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #3->Pod #0 Agg #1#0 creation (Core #3 -> Pod #0 Agg #1) in Graph@134593bf triggered.
43 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #3->Pod #0 Agg #1#1 creation (Core #3 -> Pod #0 Agg #1) in Graph@134593bf triggered.
43 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #3->Pod #0 Agg #1#2 creation (Core #3 -> Pod #0 Agg #1) in Graph@134593bf triggered.
43 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Core #3->Pod #0 Agg #1#3 creation (Core #3 -> Pod #0 Agg #1) in Graph@134593bf triggered.
43 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Core #3->Pod #0 Agg #1 (NetworkNode@7f416310 -> NetworkNode@2f490758 - PriorityScheduler@43301423 - 4 queues) creation in Network@4bb4de6a triggered.
44 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Core #3 creation (Pod #0 Agg #1 -> Core #3) in Graph@1da51a35 triggered.
